RazaoSocial;UF;TotalDespesa;MediaTrimestral;DesvioPadrao
UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO;PR;1849589888.43;6334211.95;18628440.74
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;MG;1811336298.87;8922838.91;21132020.74
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA;PR;1810759975.75;7838787.77;20372285.37
UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL;SC;1793677199.71;4280852.51;13500639.19
UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1777227369.28;9554985.86;22966916.36
S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL;SP;1768232035.7;13098015.08;27869110.86
UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA;MS;1740190359.95;6693039.85;16857747.41
UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO;SP;1700939114.05;5707849.38;15886512.83
UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1697023888.62;6239058.41;18167929.69
SERMED-SAÚDE LTDA.;SP;1694658067.62;7773660.86;24394099.76
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;AC;1665025032.35;6330893.66;18064143.47
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA;SP;1650081489.6;19186994.07;40118144.2
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;PR;1628524481.91;11468482.27;29833956.91
UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.;ES;1626736857.26;8938114.6;20197686.35
UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS;PR;1607310358.02;5102572.57;16633524.43
SÃO LUCAS SAÚDE S/A;SP;1597909864.25;13894868.38;33289556.65
UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1596856798.98;9393275.29;18119025.32
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.;MG;1586968268.13;7521176.63;14343657.23
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL;SP;1508870429.71;11430836.59;23208949.61
UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO;SP;1496589923.48;3817831.44;14739782.75
SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA;MG;1485028528.75;8633886.8;19978224.65
UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.;GO;1469494020.12;4981335.66;13495658.43
UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO;SP;1405678947.47;7681305.72;19139358.19
PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA;SP;1387113506.03;10274914.86;24830950.29
UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO;MG;1354818442.62;5210840.16;13680716.07
UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO ;PR;1347890895.11;7285896.73;17401524.17
UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO;MG;1347562309.56;9167090.54;17932732.54
MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO;RJ;1346042629.7;21365756.03;29565293.94
UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO;TO;1342355600.35;5640149.58;13056155.15
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;1291872378.61;6459361.89;15618547.31
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;AL;1237975451.39;5652855.94;14516244.56
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO;BA;1236723080.2;6183615.4;15917697.47
UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;1197565267.74;3900864.06;11250256.55
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE;MG;1188401396.85;9003040.89;22292546.94
UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO;ES;1182185493.88;4546867.28;13182512.53
UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO;PR;1158133648.28;5013565.58;11687140.44
UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO;SP;1152280419.61;4903320.93;12309350.71
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;PA;1150878376.76;14568080.72;26541064.44
BENEFICENCIA CAMILIANA DO SUL;SP;1150192564.79;14559399.55;29674334.26
SIM - CAIXA DE ASSISTÊNCIA À SAÚDE;SC;1141946444.7;8651109.43;20172736.65
