CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesa;Status_Validacao;Motivo_Erro
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;156788.08;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;6295689.06;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;6237335.29;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;58353.77;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;66310.55;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;66310.55;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;33659871.54;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;35167107.34;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;35049293.53;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;117813.81;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;10658.78;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;451818.62;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;404663.72;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;404663.72;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;2187725.76;Valido;
44857357000166;METRUS INSTITUTO DE SEGURIDADE SOCIAL;2;2025;2187725.76;Valido;
92911056000116;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;2;2025;496.91;Valido;
92911056000116;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;2;2025;496.91;Valido;
92911056000116;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;2;2025;130179.63;Valido;
42936518000181;UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA;2;2025;152915.47;Valido;
42936518000181;UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA;2;2025;152915.47;Valido;
42163881000101;UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;2;2025;93063202.07;Valido;
42163881000101;UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;2;2025;76254739.46;Valido;
42163881000101;UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;2;2025;13379866.1;Valido;
42163881000101;UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;2;2025;3428596.51;Valido;
42163881000101;UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;2;2025;18680.04;Valido;
42163881000101;UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;2;2025;18680.04;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;507287.96;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;327241.81;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;42910.78;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;137135.37;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;139660.56;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;1300451.91;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;844764.89;Valido;
53454617000143;SISTEMA TOTAL DE SAÚDE LTDA.;2;2025;455687.02;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;7846185.33;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;7640885.58;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;7626732.72;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;7626732.72;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;11837367.14;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;641423.99;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;14152.86;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;14152.86;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;14152.86;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;205299.75;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;205299.75;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;205299.75;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;205299.75;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;205299.75;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;213494.09;Valido;
72350382000194;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;2;2025;8194.34;Valido;
57746455000178;MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;2;2025;121784608.48;Valido;
57746455000178;MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;2;2025;9383.61;Valido;
57746455000178;MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;2;2025;235659353.17;Valido;
57746455000178;MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;2;2025;191836940.71;Valido;
48721401000167;UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO;2;2025;26315.98;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;14445.34;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;347442.63;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;30370.59;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;82672.66;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;2959.06;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;14113.25;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;32694.83;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;645986.21;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;645986.21;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;215961.07;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;25599.63;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;491089.19;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;27040.46;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;27040.46;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;27040.46;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;107631.3;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;107631.3;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;107631.3;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;107631.3;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;107631.3;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;136967.18;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;29335.88;Valido;
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;2;2025;4395.0;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;202880823.22;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;201077432.91;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;67379046.39;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;67379046.39;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;929292.49;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;4499755.47;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;169021.53;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;1529542.32;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;107550.73;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;6125414.73;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;8992291.38;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;23241837.24;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;317518.48;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;5979033.71;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;304551.91;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;22423957.38;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;3044811.36;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;22058176.51;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;29307.35;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;29307.35;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;5621.28;Valido;
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;2;2025;11562.48;Valido;
